title,subtitle
SEAT Leon,1.6 FESTPREIS
Citroen Xsara Picasso,
Ford Ka/Ka+,KA /Pano/AUX/USB/Ohne TÜV
Opel Corsa,B 1.0 12 V
Opel Corsa,"C *TÜV-09/2021,RADIO,8-FACH-BEREIFT* Basis"
Ford Fiesta,"1.25 Futura 55 kW (75 PS), Schaltgetriebe, Fron..."
Lancia Lybra,1.9 jtd NAVI inkl. TELEFON
Audi A4,1.8 Avant*EXPORT*
Volvo V70,2.4 Kombi *Klima*Radio*Teilleder*8 Fach
Opel Astra,1.8 16V Comfort Klima
Opel Astra,"H 1,7 Lim. Cosmo Klima Radio/CD Temp."
Volkswagen Golf,1.4 TÜV kein TÜV !
Volkswagen Passat Variant,Passat 1.9 TDI Variant Basis*Klima*SHZ*Tempomat*
Renault Scenic,1.6 16V RXE*Klima*Alu*Ohne-TÜV*
Hyundai Others,1.6i FX
BMW 318,2.0 Diesel
Saab 9-3,"2.2 TiD SE Anniversary, 2. Hand, gepflegt"
Opel Vectra,GTS 2.2 16V Automatik
Opel Corsa,B 1.4 TÜV bis 09/2022/Allwetterreifen
Peugeot 607,2.2HDi Aut.
title,subtitle
SEAT Leon,1.6 FESTPREIS
Citroen Xsara Picasso,
Ford Ka/Ka+,KA /Pano/AUX/USB/Ohne TÜV
Opel Corsa,B 1.0 12 V
Opel Corsa,"C *TÜV-09/2021,RADIO,8-FACH-BEREIFT* Basis"
Ford Fiesta,"1.25 Futura 55 kW (75 PS), Schaltgetriebe, Fron..."
Lancia Lybra,1.9 jtd NAVI inkl. TELEFON
Audi A4,1.8 Avant*EXPORT*
Volvo V70,2.4 Kombi *Klima*Radio*Teilleder*8 Fach
Opel Astra,1.8 16V Comfort Klima
Opel Astra,"H 1,7 Lim. Cosmo Klima Radio/CD Temp."
Volkswagen Golf,1.4 TÜV kein TÜV !
Volkswagen Passat Variant,Passat 1.9 TDI Variant Basis*Klima*SHZ*Tempomat*
Renault Scenic,1.6 16V RXE*Klima*Alu*Ohne-TÜV*
Hyundai Others,1.6i FX
BMW 318,2.0 Diesel
Saab 9-3,"2.2 TiD SE Anniversary, 2. Hand, gepflegt"
Opel Vectra,GTS 2.2 16V Automatik
Opel Corsa,B 1.4 TÜV bis 09/2022/Allwetterreifen
Peugeot 607,2.2HDi Aut.
